I_q1_15	I_q2_15	Q_q1_15	Q_q2_15
4.88896e+10	1.56307e+11	-2.53674e+11	-3.1887e+11
1.37947e+11	3.17396e+11	-1.74744e+11	-1.234e+11
2.26239e+11	7.28031e+11	-4.96512e+11	-2.04449e+11
2.60558e+11	2.46208e+11	-1.04408e+11	-2.37899e+11
5.6676e+11	1.73661e+11	-4.92167e+10	-4.39342e+11
4.73767e+11	1.05593e+11	-1.73094e+11	-1.01048e+11
1.90775e+11	2.73745e+11	-5.61159e+10	-3.71197e+11
3.11616e+11	4.4836e+11	3.94329e+10	-5.93234e+10
1.36324e+11	-8.64834e+10	-2.66639e+11	-2.8574e+11
1.34546e+11	-1.8376e+11	-2.8318e+11	-2.57755e+11
2.74713e+11	1.98992e+11	-3.46539e+11	-3.35622e+11
1.13186e+11	2.44032e+11	-4.02961e+10	-2.00407e+11
1.18484e+11	1.02543e+11	-1.78481e+11	-7.89989e+10
-1.95072e+11	4.99744e+10	-2.66844e+11	-1.04341e+11
-1.01928e+11	4.67227e+11	-2.16343e+11	-2.90073e+11
1.13535e+11	4.46523e+11	-2.6231e+11	-1.02705e+11
-1.42728e+11	-1.29776e+11	-1.2094e+11	-2.51774e+10
2.80165e+11	2.61612e+11	5.16716e+10	-1.71118e+11
-1.14415e+11	-8.8618e+10	-2.73493e+11	-2.06203e+11
4.35114e+10	1.43801e+11	-1.94162e+09	-2.00067e+11
1.8614e+11	4.3551e+11	-1.76498e+11	-8.29622e+10
-2.42935e+11	3.31867e+11	9.89996e+09	-2.5269e+10
3.8013e+11	5.23266e+11	8.808e+10	-2.03881e+11
-8.39632e+10	2.69829e+11	-8.41301e+10	-2.01293e+11
7.958e+10	1.24605e+11	-1.0303e+11	-2.06779e+11
1.57876e+11	3.94119e+11	-1.81051e+11	-1.31609e+11
2.43478e+11	3.34735e+11	-2.39457e+11	-2.95881e+11
-8.32308e+10	7.78183e+10	-3.10618e+10	-1.16486e+11
-7.32522e+10	5.21351e+10	-3.60634e+11	-3.33803e+11
-2.79251e+11	9.02303e+09	-3.14758e+11	-2.0674e+11
1.63279e+11	2.30753e+11	-1.1377e+11	-4.55606e+11
3.21187e+10	2.38971e+11	-1.70708e+11	-1.62632e+11
2.21279e+11	4.2327e+11	-2.79926e+11	-3.44929e+11
3.00063e+11	3.13612e+11	-1.1167e+11	-2.57654e+11
2.05135e+11	6.04853e+11	-9.59821e+10	-2.96304e+11
-6.39793e+10	-6.33661e+10	-3.05804e+11	-3.50764e+11
-9.67663e+10	1.59671e+11	-3.76525e+11	-3.02229e+11
3.38555e+11	3.4094e+11	-2.27368e+11	7.47129e+10
-4.06176e+10	3.40948e+11	2.50265e+10	2.62264e+10
-9.02135e+10	2.92479e+11	-3.38906e+11	-1.81869e+10
-7.28931e+10	6.44648e+11	-2.96663e+11	-4.96233e+11
-4.86448e+09	3.72914e+11	-2.68416e+11	-1.87857e+11
2.54471e+11	5.71769e+11	-3.63391e+11	9.91616e+10
8.46393e+10	-1.14202e+11	-3.38617e+11	-1.05563e+11
-9.60708e+10	-2.57151e+11	-2.593e+11	1.06068e+11
1.80497e+11	3.94014e+11	-1.46675e+11	-6.82797e+10
2.28468e+11	2.18655e+11	-1.17784e+11	-8.88132e+10
1.15655e+11	4.28821e+11	-1.35249e+11	1.22207e+11
3.19101e+11	4.37191e+11	-1.65131e+11	-1.43803e+11
-2.53357e+09	8.23397e+10	2.55264e+10	-8.85502e+10
2.09081e+11	5.1463e+11	-1.5968e+11	-2.21299e+11
-4.03836e+10	-1.79305e+11	-4.81281e+10	-5.13759e+10
1.73258e+11	2.254e+11	9.85373e+10	1.07265e+11
-1.64245e+11	-3.84435e+10	-1.79186e+09	7.33398e+09
2.34658e+11	5.75201e+11	-2.73912e+11	7.6117e+10
2.99867e+11	2.01603e+11	-2.7144e+11	-2.14224e+11
-7.53932e+10	5.13192e+10	-3.05589e+11	-2.00565e+11
2.94091e+11	3.26435e+11	-1.01143e+11	-3.17422e+11
-1.2496e+11	9.86505e+10	-6.94335e+10	2.64492e+10
6.13943e+10	7.41787e+10	-4.00576e+11	-1.67068e+11
5.22868e+11	3.00403e+11	5.93923e+09	-1.21304e+11
1.04184e+11	-2.08431e+11	-1.98117e+11	1.3335e+11
2.997e+09	7.38781e+10	1.46211e+11	1.04977e+11
1.66459e+11	2.72839e+11	-2.12048e+11	-6.86165e+10
1.2618e+11	3.81072e+11	9.26949e+10	-2.75453e+11
2.42054e+11	4.34845e+11	-2.0238e+11	-5.10161e+11
2.53876e+11	4.20254e+11	-2.55274e+11	-1.61655e+11
-7.68732e+10	-1.41878e+11	-1.44464e+11	-4.66899e+11
4.16796e+11	5.72608e+11	-1.60746e+11	-2.00293e+11
